lc_small_channel_name,400留资,AIGC名片,APP,APP-试乘试驾,APP-预约上门试驾,APP报名,APP留资,APP行为激活,B站官号,B站效果应用推广,B站效果投放,B站达人视频,CSOP活动,CSOP活动（门店）,JD汽车,LS6-66度客户激活,Popup,Popup（门店）,三垂投放（区域）,上财（门店）,企微投放（门店）,信息流-短视频,其他历史线索,其他活动（门店）,内部员工,历史数据,历史数据1,历史线索,友享,品牌-微信视频号,品牌投放-58汽车,品牌投放-太平洋汽车,品牌投放-头条,品牌投放-微信搜一搜,品牌投放-微博,品牌投放-懂车帝,品牌投放-抖音,品牌投放-易车,品牌投放-汽车之家,品牌投放-爱卡汽车,品牌投放-百度品专,品牌投放-百度地图,品牌投放-百度购车宝,商圈主动拓客,地推,地推（门店）,大模型线索挖掘,头条-号外,字节APP,字节效果-星声场搜索,字节效果-星声场留资,字节效果-盘龙留资,字节效果-群邑留资,字节效果-聚胜搜索,字节效果-聚胜留资,官网-试乘试驾,小程序留资,小红书-效果,小红书-矩阵,小红书圈层活动,小红书私信,巨懂车,异地线索,微信公众号,微信小程序,微信小程序-试乘试驾,微信服务号-,心愿单,总部孵化,总部孵化线索,意向金,懂车帝,懂车帝-效果联盟,懂车帝卖车通,懂车帝卖车通-400,懂车帝增效,懂车帝生服,战败激活,户外电梯广告,抖音,抖音-内容热推,抖音-矩阵,抖音SCRM,抖音小程序,抖音小程序-试乘试驾,抖音引流短视频,抖音本地生活服务,抖音来客电商,抖音达人运营,新媒体-小红书,新媒体-快手,新媒体-抖音,新媒体-视频号,旅游行业,易车,易车-效果,易车-达播,易车伙伴400,易车伙伴网单,智己生活家,智己福利社,朋友圈投放（区域）,汽车之家,汽车之家-效果,汽车之家车商汇,汽车之家车商汇400,汽车金融平台,活动自然参与,活动邀约用户,用户裂变,百度-搜索SEM竞价,直接大定,直播业务(Group),私人管家,经销商保客,老带新活动,腾讯-朋友圈广告,腾讯ADQ-新意,腾讯ADQ-有车,腾讯ADQ-海南明舟,腾讯ADQ-盘龙,腾讯ADQ-盟聚,腾讯ADQ-省广,腾讯ADQ-聚胜,腾讯ADQ-蔚蓝,腾讯效果-盟聚,自然客流,视频号-达人矩阵,试驾会（门店）,车主活动推荐,车展,车展（门店）,达人获客-潮驱,邀请落地页-试乘试驾,门店战败激活,集团客户,高意向线索
小红书私信,0,0,37,21,0,0,6,6,0,1,0,0,0,0,0,2,0,68,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,2,0,0,0,2,1,0,27,1,0,0,0,1,0,2,0,0,1,11,1,4,0,0,0,1,2,0,22,0,37,9,0,44,20,0,32,3,0,0,23,0,0,0,35,0,1,0,0,0,0,0,45,0,116,0,0,21,1,1,3,19,1,0,0,15,1,18,4,1,37,0,15,0,28,30,2,0,1,0,0,0,9,5,0,0,13,1,0,562,0,1,12,2,31,0,4,10,0,0
巨懂车,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0
异地线索,0,0,3,3,0,0,2,3,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,0,8,0,1,5,3,0,8,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,3,0,24,0,0,7,1,0,1,6,0,0,0,4,0,3,2,0,4,0,9,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,2,0,4,0,0,1,0,0
微信公众号,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,0,0,0,0,2,0,0,0,0,0
微信小程序,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
微信小程序-试乘试驾,1,0,17,11,0,0,7,12,0,0,0,0,0,0,0,2,0,46,0,0,0,0,5,0,3,1,0,2,0,0,0,0,0,8,0,2,0,0,0,0,1,0,7,1,0,20,1,0,2,1,0,0,0,0,0,4,34,1,5,0,7,1,1,1,2,0,0,33,9,2,83,13,1,23,1,0,0,15,0,1,0,28,0,1,0,1,0,0,0,27,0,94,0,0,15,4,0,3,18,2,0,1,7,0,12,3,0,43,0,28,4,59,28,1,1,1,0,4,1,1,3,1,0,11,0,0,490,0,2,18,1,29,0,0,15,0,0
微信服务号-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,3,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,0,1,0,0,1,0,0
心愿单,2,0,59,72,0,1,53,84,0,1,0,0,0,0,1,1,1,121,0,0,0,0,7,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,7,3,0,36,0,0,4,1,3,0,0,0,0,4,39,0,6,0,7,3,1,0,6,58,2,0,16,18,222,42,0,43,10,0,0,71,0,0,0,32,1,3,0,0,0,0,0,39,0,185,2,0,27,5,0,3,36,2,0,3,32,0,20,7,0,69,2,53,2,169,34,8,3,3,0,2,0,2,1,0,0,4,0,0,1207,0,3,25,1,52,0,3,27,0,1
总部孵化,3,0,34,19,0,1,12,13,0,1,0,0,0,1,0,3,2,51,0,0,0,0,17,0,3,3,1,1,0,0,0,0,0,1,0,2,1,0,1,0,0,1,1,2,0,17,0,0,3,0,4,0,7,0,0,4,5,0,1,0,3,0,3,0,6,13,0,51,0,2,74,14,5,24,5,1,0,9,0,0,0,14,0,2,3,0,0,0,0,8,0,46,3,0,3,0,0,4,10,2,0,0,5,0,14,4,0,14,1,17,1,25,14,0,0,0,0,1,2,8,6,2,1,7,0,0,368,1,1,7,0,20,0,2,5,0,0
总部孵化线索,2,0,60,39,0,3,26,20,1,3,0,0,0,0,1,3,1,56,0,0,0,1,229,0,4,1,0,3,0,0,1,0,0,1,0,1,2,0,0,0,0,0,6,1,0,33,0,0,4,1,14,0,5,0,9,8,19,0,2,0,4,0,1,1,5,26,1,127,9,0,134,23,2,26,2,0,0,22,0,0,1,28,0,3,2,0,0,0,0,16,0,96,0,0,13,2,0,6,19,1,1,0,8,0,21,4,0,31,2,20,0,87,38,1,1,2,0,2,3,6,2,5,0,8,0,1,691,0,3,10,2,44,0,0,9,0,0
意向金,2,0,77,63,0,2,29,22,0,2,0,0,0,0,0,6,0,76,0,0,1,0,43,1,19,2,0,5,0,0,0,0,0,3,0,1,2,2,1,1,0,0,5,4,0,32,0,0,2,1,8,0,5,0,0,9,14,0,0,0,1,0,2,3,4,26,2,87,5,1,0,12,8,38,5,0,0,10,0,0,1,31,1,7,1,1,0,0,0,14,0,101,1,1,10,2,0,7,13,1,0,0,11,0,19,3,0,43,0,34,1,149,30,2,2,5,0,1,3,4,10,4,1,11,0,0,753,0,3,17,5,37,0,2,11,0,0
懂车帝,2,0,21,16,0,0,11,8,0,0,0,0,0,1,1,1,0,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,5,3,0,20,1,0,4,0,1,0,1,0,0,2,11,0,3,0,6,1,0,1,0,19,0,30,5,0,43,0,1,124,15,0,2,15,0,0,0,56,0,0,0,0,0,1,0,19,0,117,0,0,40,9,1,5,34,3,0,0,19,0,19,5,0,27,1,14,1,46,65,2,1,0,0,6,0,2,2,0,0,6,0,0,572,0,2,12,1,26,0,0,8,0,0
懂车帝-效果联盟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
懂车帝卖车通,1,0,47,52,0,0,39,26,0,3,0,1,0,0,1,3,0,133,0,0,0,5,2,0,1,0,1,2,0,0,1,0,1,4,0,3,3,2,0,1,0,0,16,3,0,68,1,0,9,0,2,0,1,0,0,2,42,0,4,0,11,6,4,0,0,27,1,47,13,6,139,198,6,0,27,0,3,77,0,0,0,97,1,1,0,0,0,0,0,48,0,296,3,1,64,11,2,21,128,6,0,2,40,2,56,8,0,74,1,59,4,156,91,3,1,0,0,4,0,6,3,0,0,13,0,0,1348,0,3,37,2,85,1,1,17,0,0
懂车帝卖车通-400,0,0,6,2,0,0,3,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,2,0,10,1,0,17,15,0,22,0,0,0,6,0,0,0,11,0,1,0,0,0,0,0,3,0,30,0,0,14,0,1,5,9,0,0,1,3,0,8,3,0,13,0,8,0,21,8,1,0,1,0,0,0,1,1,0,0,0,0,0,149,0,1,4,1,9,1,0,3,0,0
懂车帝生服,0,0,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,1,15,8,0,9,1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,2,0,14,1,0,2,1,0,2,6,0,0,0,0,0,1,0,0,1,0,3,0,7,5,1,0,0,0,1,0,0,0,0,0,2,0,0,77,0,1,1,0,3,0,0,0,0,0
战败激活,3,0,75,65,0,2,58,71,0,2,0,0,1,0,3,2,0,188,1,0,0,4,17,2,0,1,0,4,0,0,5,0,1,4,0,2,2,0,1,0,1,0,15,5,0,66,1,0,11,0,6,1,1,0,0,4,53,0,4,0,10,2,1,0,3,39,2,112,20,21,357,77,4,93,18,0,1,0,0,0,1,139,0,3,0,0,0,0,0,36,0,373,0,0,63,10,0,27,88,2,0,0,32,0,53,15,0,99,0,99,1,153,114,3,1,3,0,4,0,5,0,2,0,11,0,0,1569,2,7,40,4,109,1,3,25,0,0
户外媒体,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
户外电梯广告,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0
抖音-矩阵,4,0,108,52,0,0,52,36,0,3,0,0,0,0,3,3,1,216,0,0,0,7,13,2,2,0,0,0,0,0,1,0,2,2,0,1,3,2,2,7,0,1,17,11,0,88,1,0,15,4,15,1,6,0,1,3,41,0,5,0,7,3,13,0,2,33,0,117,25,14,213,105,8,140,16,0,0,96,0,0,1,0,1,8,0,1,0,1,0,60,0,707,7,0,89,17,2,29,138,10,1,0,51,2,93,19,1,149,1,83,4,178,222,5,1,5,0,2,2,10,8,3,0,15,0,0,1751,0,5,37,4,100,1,3,21,0,0
抖音小程序,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,4,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,0
抖音小程序-试乘试驾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
抖音引流短视频,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0
抖音本地生活服务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
抖音来客电商,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
抖音达人运营,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
新媒体-小红书,1,0,17,10,0,0,13,6,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,5,2,0,17,0,0,2,0,0,0,1,0,0,0,6,0,23,0,13,0,1,2,0,15,0,14,3,0,11,21,0,31,5,0,0,9,0,0,0,31,0,0,0,0,0,0,0,0,0,64,2,0,9,3,0,2,11,0,0,0,6,0,15,9,0,15,1,9,0,23,26,0,0,0,0,3,1,2,1,0,0,14,0,0,360,0,0,8,0,14,0,2,3,0,0
新媒体-快手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
新媒体-抖音,2,0,96,51,0,0,50,23,0,5,0,0,0,0,1,1,0,143,0,0,0,6,7,1,1,1,0,3,0,0,0,0,0,5,0,7,2,2,1,1,0,0,18,7,1,74,0,0,27,0,5,1,0,0,2,2,49,0,24,0,17,1,4,2,3,46,0,74,15,9,142,81,4,134,9,0,0,54,0,0,0,317,0,7,0,0,0,1,0,74,0,0,8,0,81,16,0,24,112,16,2,1,50,2,73,16,1,104,2,53,4,116,240,5,2,1,0,9,1,4,2,1,0,30,0,0,1459,0,5,35,2,79,2,2,18,0,0
新媒体-视频号,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
易车,0,0,16,7,0,0,11,2,0,1,0,0,0,0,0,2,0,33,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,1,0,16,0,0,2,0,2,0,2,0,0,0,6,0,2,0,3,0,4,0,0,5,0,12,4,2,26,27,2,26,5,0,0,24,0,0,1,18,0,1,1,0,0,0,0,12,0,79,0,1,0,3,0,18,79,0,1,2,15,0,13,7,0,32,1,7,1,18,34,0,0,0,0,2,0,2,0,1,0,2,0,0,366,0,2,8,2,14,0,0,6,0,0
易车-效果,0,0,5,3,0,0,3,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,3,2,1,16,8,0,10,0,0,0,12,0,0,0,10,0,0,0,0,0,0,0,6,0,28,1,0,5,0,0,1,13,0,0,0,5,0,11,0,0,5,0,6,0,9,19,0,0,0,0,1,0,0,0,0,0,2,0,0,95,0,0,2,0,6,0,0,0,0,0
易车伙伴400,4,0,31,21,0,1,9,7,0,1,0,0,0,0,0,4,1,62,0,0,1,3,6,0,1,0,1,0,0,0,0,0,0,4,0,3,1,0,2,0,0,0,6,1,0,26,0,0,2,0,5,1,5,1,0,3,13,0,0,0,2,1,1,1,2,11,1,26,6,3,65,15,7,37,7,0,1,20,0,0,0,40,0,2,0,0,1,0,0,16,0,97,0,0,28,3,0,0,34,1,0,1,17,1,18,13,0,35,0,23,1,57,33,1,0,2,0,1,1,5,2,1,0,9,0,0,551,0,2,13,2,38,0,1,4,0,0
易车伙伴网单,2,0,45,25,0,0,19,16,0,4,0,0,0,0,1,3,0,88,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,3,0,5,2,2,1,2,0,0,10,6,0,36,0,0,10,0,2,3,2,0,1,0,11,0,4,0,8,0,2,2,1,18,1,34,10,7,66,47,4,98,9,0,0,42,0,0,0,82,0,5,1,0,1,0,1,25,0,258,2,1,131,5,1,25,0,9,0,1,24,1,51,8,0,66,1,31,0,67,123,2,0,2,0,3,1,3,2,3,0,8,0,0,952,0,3,15,0,46,2,3,11,0,0
智己生活家,0,0,3,2,0,0,1,2,0,0,0,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5,1,1,4,7,0,5,1,0,0,2,0,0,0,9,0,1,0,0,0,0,0,1,0,17,0,0,8,0,0,1,0,0,0,0,2,0,7,0,0,9,0,1,1,8,15,1,0,0,0,0,0,0,0,0,0,1,0,0,91,0,1,1,2,8,0,0,1,0,0
智己福利社,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
朋友圈投放（区域）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
汽车之家,0,0,19,20,0,0,9,4,0,0,0,0,0,0,3,1,0,38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,10,3,0,18,0,0,1,0,0,0,0,0,0,2,3,0,0,0,1,0,1,2,0,11,1,8,7,3,26,23,1,12,1,0,1,6,0,0,0,21,0,0,0,0,0,0,0,10,0,74,4,1,20,5,0,4,23,0,0,1,0,1,58,17,0,26,1,9,0,27,30,1,0,1,0,2,0,3,1,1,0,4,0,0,390,0,1,9,1,20,0,1,14,0,0
汽车之家-效果,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
汽车之家车商汇,5,0,37,36,0,0,25,11,0,1,0,0,0,0,6,2,0,117,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,1,0,2,0,0,1,2,0,0,16,7,0,54,0,0,7,0,4,0,4,0,0,3,22,0,3,0,9,0,4,3,2,14,2,45,9,6,170,41,3,63,8,1,3,42,0,0,0,66,1,3,1,0,0,0,0,26,0,228,1,1,57,9,1,11,83,4,0,0,90,3,0,14,0,83,0,44,4,126,75,0,0,0,0,4,1,3,0,1,0,5,0,0,1019,0,1,15,1,60,2,0,13,0,0
汽车之家车商汇400,0,0,10,9,0,1,5,3,0,0,0,0,0,0,0,0,1,18,0,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,1,0,4,0,0,5,0,0,0,0,2,0,0,0,0,1,2,0,1,0,1,0,2,0,0,5,0,7,2,1,28,6,1,18,5,0,0,13,0,0,0,7,0,0,0,0,0,0,0,9,0,43,2,0,13,1,0,5,10,1,0,0,18,0,13,0,0,12,0,7,1,26,6,0,0,2,0,0,0,1,2,0,1,1,0,0,206,0,1,3,0,7,0,0,1,0,0
汽车金融平台,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0
活动自然参与,1,0,36,31,0,0,13,18,0,0,0,0,0,0,2,3,0,92,0,1,0,4,32,1,2,1,0,2,0,0,1,0,1,0,0,1,3,0,0,0,1,0,16,1,0,47,1,0,4,1,9,1,5,0,0,3,11,1,3,0,6,0,3,1,1,17,0,50,3,1,109,29,4,47,6,0,0,33,0,0,0,51,0,2,1,0,0,0,0,22,0,149,0,0,35,6,0,9,37,4,0,3,19,1,30,7,0,0,1,31,2,73,55,2,2,4,0,2,2,2,4,2,0,9,0,0,797,0,4,26,1,63,0,2,20,0,0
用户裂变,1,0,17,51,0,1,19,17,0,1,0,0,0,0,1,0,0,119,0,0,0,1,5,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,1,3,0,0,3,6,0,38,0,0,1,0,0,0,0,0,0,1,13,0,1,0,1,1,1,0,1,47,1,43,5,2,111,28,0,26,1,0,0,27,0,0,0,34,2,0,0,0,0,0,0,35,0,160,4,0,20,3,0,9,21,1,1,1,17,0,15,5,0,67,1,0,1,146,28,2,0,1,0,1,0,4,0,0,0,5,0,0,1003,1,2,39,3,30,1,11,16,0,0
百度-搜索SEM竞价,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0
